ID,Process ID,Process Name,Host Name,Kernel Name,Context,Stream,Block Size,Grid Size,Device,CC,Section Name,Metric Name,Metric Unit,Metric Value,mode,stall_reason,value_pct,stage
0,18018,python3.10,127.0.0.1,"void <unnamed>::softmax_warp_forward<float, float, float, 10, 0, 0>(T2 *, const T1 *, int, int, int, const bool *, int, bool)",1,7,"(32, 4, 1)","(1024, 1, 1)",0,12.0,Command line profiler metrics,smsp__warp_issue_stalled_tex_throttle_per_warp_active.pct,%,0.0,framework_torch,tex_throttle,0.0,torch softmax_warp_forward
0,18018,python3.10,127.0.0.1,"void <unnamed>::softmax_warp_forward<float, float, float, 10, 0, 0>(T2 *, const T1 *, int, int, int, const bool *, int, bool)",1,7,"(32, 4, 1)","(1024, 1, 1)",0,12.0,Command line profiler metrics,smsp__warp_issue_stalled_wait_per_warp_active.pct,%,8.54,framework_torch,wait,8.54,torch softmax_warp_forward
0,17792,softmax_bench,127.0.0.1,"void DeviceSegmentedReduceKernel<DeviceReducePolicy<float, int, Max>::Policy600, const float *, float *, transform_iterator<<unnamed>::RowOffset, counting_iterator<int, use_default, use_default, use_default>, use_default, use_default>, transform_iterator<<unnamed>::RowEndOffset, counting_iterator<int, use_default, use_default, use_default>, use_default, use_default>, int, Max, float, float>(T2, T3, T4, T5, int, T7, T8)",1,7,"(256, 1, 1)","(4096, 1, 1)",0,12.0,Command line profiler metrics,smsp__warp_issue_stalled_barrier_per_warp_active.pct,%,2.97,library,barrier,2.97,CUB row max
0,17792,softmax_bench,127.0.0.1,"void DeviceSegmentedReduceKernel<DeviceReducePolicy<float, int, Max>::Policy600, const float *, float *, transform_iterator<<unnamed>::RowOffset, counting_iterator<int, use_default, use_default, use_default>, use_default, use_default>, transform_iterator<<unnamed>::RowEndOffset, counting_iterator<int, use_default, use_default, use_default>, use_default, use_default>, int, Max, float, float>(T2, T3, T4, T5, int, T7, T8)",1,7,"(256, 1, 1)","(4096, 1, 1)",0,12.0,Command line profiler metrics,smsp__warp_issue_stalled_branch_resolving_per_warp_active.pct,%,1.8,library,branch_resolving,1.8,CUB row max
0,17792,softmax_bench,127.0.0.1,"void DeviceSegmentedReduceKernel<DeviceReducePolicy<float, int, Max>::Policy600, const float *, float *, transform_iterator<<unnamed>::RowOffset, counting_iterator<int, use_default, use_default, use_default>, use_default, use_default>, transform_iterator<<unnamed>::RowEndOffset, counting_iterator<int, use_default, use_default, use_default>, use_default, use_default>, int, Max, float, float>(T2, T3, T4, T5, int, T7, T8)",1,7,"(256, 1, 1)","(4096, 1, 1)",0,12.0,Command line profiler metrics,smsp__warp_issue_stalled_dispatch_stall_per_warp_active.pct,%,0.23,library,dispatch_stall,0.23,CUB row max
0,17792,softmax_bench,127.0.0.1,"void DeviceSegmentedReduceKernel<DeviceReducePolicy<float, int, Max>::Policy600, const float *, float *, transform_iterator<<unnamed>::RowOffset, counting_iterator<int, use_default, use_default, use_default>, use_default, use_default>, transform_iterator<<unnamed>::RowEndOffset, counting_iterator<int, use_default, use_default, use_default>, use_default, use_default>, int, Max, float, float>(T2, T3, T4, T5, int, T7, T8)",1,7,"(256, 1, 1)","(4096, 1, 1)",0,12.0,Command line profiler metrics,smsp__warp_issue_stalled_drain_per_warp_active.pct,%,0.13,library,drain,0.13,CUB row max
0,17792,softmax_bench,127.0.0.1,"void DeviceSegmentedReduceKernel<DeviceReducePolicy<float, int, Max>::Policy600, const float *, float *, transform_iterator<<unnamed>::RowOffset, counting_iterator<int, use_default, use_default, use_default>, use_default, use_default>, transform_iterator<<unnamed>::RowEndOffset, counting_iterator<int, use_default, use_default, use_default>, use_default, use_default>, int, Max, float, float>(T2, T3, T4, T5, int, T7, T8)",1,7,"(256, 1, 1)","(4096, 1, 1)",0,12.0,Command line profiler metrics,smsp__warp_issue_stalled_lg_throttle_per_warp_active.pct,%,0.0,library,lg_throttle,0.0,CUB row max
0,17792,softmax_bench,127.0.0.1,"void DeviceSegmentedReduceKernel<DeviceReducePolicy<float, int, Max>::Policy600, const float *, float *, transform_iterator<<unnamed>::RowOffset, counting_iterator<int, use_default, use_default, use_default>, use_default, use_default>, transform_iterator<<unnamed>::RowEndOffset, counting_iterator<int, use_default, use_default, use_default>, use_default, use_default>, int, Max, float, float>(T2, T3, T4, T5, int, T7, T8)",1,7,"(256, 1, 1)","(4096, 1, 1)",0,12.0,Command line profiler metrics,smsp__warp_issue_stalled_long_scoreboard_per_warp_active.pct,%,89.09,library,long_scoreboard,89.09,CUB row max
0,17792,softmax_bench,127.0.0.1,"void DeviceSegmentedReduceKernel<DeviceReducePolicy<float, int, Max>::Policy600, const float *, float *, transform_iterator<<unnamed>::RowOffset, counting_iterator<int, use_default, use_default, use_default>, use_default, use_default>, transform_iterator<<unnamed>::RowEndOffset, counting_iterator<int, use_default, use_default, use_default>, use_default, use_default>, int, Max, float, float>(T2, T3, T4, T5, int, T7, T8)",1,7,"(256, 1, 1)","(4096, 1, 1)",0,12.0,Command line profiler metrics,smsp__warp_issue_stalled_math_pipe_throttle_per_warp_active.pct,%,0.33,library,math_pipe_throttle,0.33,CUB row max
0,17792,softmax_bench,127.0.0.1,"void DeviceSegmentedReduceKernel<DeviceReducePolicy<float, int, Max>::Policy600, const float *, float *, transform_iterator<<unnamed>::RowOffset, counting_iterator<int, use_default, use_default, use_default>, use_default, use_default>, transform_iterator<<unnamed>::RowEndOffset, counting_iterator<int, use_default, use_default, use_default>, use_default, use_default>, int, Max, float, float>(T2, T3, T4, T5, int, T7, T8)",1,7,"(256, 1, 1)","(4096, 1, 1)",0,12.0,Command line profiler metrics,smsp__warp_issue_stalled_membar_per_warp_active.pct,%,0.0,library,membar,0.0,CUB row max
0,17792,softmax_bench,127.0.0.1,"void DeviceSegmentedReduceKernel<DeviceReducePolicy<float, int, Max>::Policy600, const float *, float *, transform_iterator<<unnamed>::RowOffset, counting_iterator<int, use_default, use_default, use_default>, use_default, use_default>, transform_iterator<<unnamed>::RowEndOffset, counting_iterator<int, use_default, use_default, use_default>, use_default, use_default>, int, Max, float, float>(T2, T3, T4, T5, int, T7, T8)",1,7,"(256, 1, 1)","(4096, 1, 1)",0,12.0,Command line profiler metrics,smsp__warp_issue_stalled_mio_throttle_per_warp_active.pct,%,0.23,library,mio_throttle,0.23,CUB row max
0,17792,softmax_bench,127.0.0.1,"void DeviceSegmentedReduceKernel<DeviceReducePolicy<float, int, Max>::Policy600, const float *, float *, transform_iterator<<unnamed>::RowOffset, counting_iterator<int, use_default, use_default, use_default>, use_default, use_default>, transform_iterator<<unnamed>::RowEndOffset, counting_iterator<int, use_default, use_default, use_default>, use_default, use_default>, int, Max, float, float>(T2, T3, T4, T5, int, T7, T8)",1,7,"(256, 1, 1)","(4096, 1, 1)",0,12.0,Command line profiler metrics,smsp__warp_issue_stalled_misc_per_warp_active.pct,%,0.01,library,misc,0.01,CUB row max
