ID,Process ID,Process Name,Host Name,Kernel Name,Context,Stream,Block Size,Grid Size,Device,CC,Section Name,Metric Name,Metric Unit,Metric Value,mode,stall_reason,value_pct,stage
0,17889,softmax_bench,127.0.0.1,"void <unnamed>::softmax_max_kernel<256>(const float *, float *, int, int)",1,7,"(256, 1, 1)","(4096, 1, 1)",0,12.0,Command line profiler metrics,smsp__warp_issue_stalled_short_scoreboard_per_warp_active.pct,%,11.76,user,short_scoreboard,11.76,"void <unnamed>::softmax_max_kernel<256>(const float *, float *, int..."
3,17792,softmax_bench,127.0.0.1,"void detail::static_kernel<detail::policy_350_t, long, cuda_cub::unary_transform_f<counting_iterator<int, use_default, use_default, use_default>, float *, cuda_cub::no_stencil_tag, <unnamed>::NormalizeWithRowSum, cuda_cub::always_true_predicate>>(T2, T3)",1,7,"(256, 1, 1)","(8192, 1, 1)",0,12.0,Command line profiler metrics,smsp__warp_issue_stalled_wait_per_warp_active.pct,%,11.28,library,wait,11.28,Thrust normalize
1,17792,softmax_bench,127.0.0.1,"void detail::static_kernel<detail::policy_350_t, long, cuda_cub::unary_transform_f<counting_iterator<int, use_default, use_default, use_default>, float *, cuda_cub::no_stencil_tag, <unnamed>::ExpWithRowMax, cuda_cub::always_true_predicate>>(T2, T3)",1,7,"(256, 1, 1)","(8192, 1, 1)",0,12.0,Command line profiler metrics,smsp__warp_issue_stalled_wait_per_warp_active.pct,%,11.23,library,wait,11.23,Thrust exp
0,17754,softmax_bench,127.0.0.1,"<unnamed>::softmax_baseline_kernel(const float *, float *, int, int)",1,7,"(256, 1, 1)","(4096, 1, 1)",0,12.0,Command line profiler metrics,smsp__warp_issue_stalled_barrier_per_warp_active.pct,%,10.84,baseline,barrier,10.84,baseline kernel
1,17889,softmax_bench,127.0.0.1,"void <unnamed>::softmax_block_loop_kernel<256, 32>(const float *, float *, float *, int, int)",1,7,"(256, 1, 1)","(4096, 1, 1)",0,12.0,Command line profiler metrics,smsp__warp_issue_stalled_wait_per_warp_active.pct,%,10.63,user,wait,10.63,block_loop
0,17851,softmax_bench,127.0.0.1,"void softmax_fw_kernel<2, float, float, 256, 1, 1, 0>(cudnnTensorStruct, const T2 *, cudnnTensorStruct, T2 *, int, T3, T3, int, int)",1,7,"(256, 1, 1)","(1, 1, 4096)",0,12.0,Command line profiler metrics,smsp__warp_issue_stalled_wait_per_warp_active.pct,%,9.93,cudnn,wait,9.93,cuDNN softmax
0,18018,python3.10,127.0.0.1,"void <unnamed>::softmax_warp_forward<float, float, float, 10, 0, 0>(T2 *, const T1 *, int, int, int, const bool *, int, bool)",1,7,"(32, 4, 1)","(1024, 1, 1)",0,12.0,Command line profiler metrics,smsp__warp_issue_stalled_short_scoreboard_per_warp_active.pct,%,9.26,framework_torch,short_scoreboard,9.26,torch softmax_warp_forward
0,17792,softmax_bench,127.0.0.1,"void DeviceSegmentedReduceKernel<DeviceReducePolicy<float, int, Max>::Policy600, const float *, float *, transform_iterator<<unnamed>::RowOffset, counting_iterator<int, use_default, use_default, use_default>, use_default, use_default>, transform_iterator<<unnamed>::RowEndOffset, counting_iterator<int, use_default, use_default, use_default>, use_default, use_default>, int, Max, float, float>(T2, T3, T4, T5, int, T7, T8)",1,7,"(256, 1, 1)","(4096, 1, 1)",0,12.0,Command line profiler metrics,smsp__warp_issue_stalled_wait_per_warp_active.pct,%,8.97,library,wait,8.97,CUB row max
0,18018,python3.10,127.0.0.1,"void <unnamed>::softmax_warp_forward<float, float, float, 10, 0, 0>(T2 *, const T1 *, int, int, int, const bool *, int, bool)",1,7,"(32, 4, 1)","(1024, 1, 1)",0,12.0,Command line profiler metrics,smsp__warp_issue_stalled_wait_per_warp_active.pct,%,8.54,framework_torch,wait,8.54,torch softmax_warp_forward
2,17792,softmax_bench,127.0.0.1,"void DeviceSegmentedReduceKernel<DeviceReducePolicy<float, int, cuda::plus<void>>::Policy600, float *, float *, transform_iterator<<unnamed>::RowOffset, counting_iterator<int, use_default, use_default, use_default>, use_default, use_default>, transform_iterator<<unnamed>::RowEndOffset, counting_iterator<int, use_default, use_default, use_default>, use_default, use_default>, int, cuda::plus<void>, float, float>(T2, T3, T4, T5, int, T7, T8)",1,7,"(256, 1, 1)","(4096, 1, 1)",0,12.0,Command line profiler metrics,smsp__warp_issue_stalled_wait_per_warp_active.pct,%,8.43,library,wait,8.43,CUB row sum
